company,title,type_of_company,technologies,salary,workplace,location,test_task,date,views,reviews
OTP Bank UA,Product Data Analyst for OTP Bank UA,Product,"Data Analysis, Firebase, Google Analytics, Amplitude, SQL",,Office або Remote,"Україна, None None",,"27,березня",339,33
Smart Holding,Business Analyst,Outsource,,,Гібридна робота,"Україна, None (Київ)",,"28,березня",17,3
appflame,Middle Product Analyst,Product,,,Гібридна робота,"Релокейт, Україна (Київ)",Є тестове завдання,"28,березня",28,2
Holy Water,Junior Analytics Engineer,Product,"Data Engineering, Data Engineer, Analytics, Data Analysis, Data Analytics, Data Analyst",,Office або Remote,"Україна, None None",,"27,березня",505,73
Weem,junior Data analyst,Product,,до $1000,Тільки офіс,"Україна, None (Дніпро)",,"27,березня",232,14
SKELAR,Middle Data Analyst,Product,,,Тільки офіс,"Релокейт, Україна (Київ)",Є тестове завдання,"28,березня",61,4
CodeSpace,Risk Analyst,Product,"risk management, Analytics, aml",,Гібридна робота,"Україна, None (Київ)",Є тестове завдання,"28,березня",72,7
Kyrrex,Business Intelligence Analysis,Product,,,Тільки віддалено,"Україна, None (Київ)",,"28,березня",62,8
EVA,BI Developer,Product,"Microsoft Power BI, ETL, SQL",,Office або Remote,"Україна, None None",,"28,березня",96,13
Promodo,Middle Web-analyst,Агенція,"Google Tag Manager, Google Optimize, Google Data Studio, Digital Analytics, Google Analytics 4, Google Analitycs, Google Analytics",,Office або Remote,"Україна, None None",,"28,березня",26,0
Студія HR рішень,BI Analyst / Developer,Product,"SQL, BI Analysis, analytical and problem solving abilities, Python, R, Data Research",,Тільки віддалено,"Іспанія, Польща,
    Португалія,
    Україна,
    Німеччина None",,"28,березня",280,47
dentsu Ukraine,Junior Data Analyst,Агенція,"MS Excel, MS PowerBI, PowerPoint, Python, R",,Office або Remote,"Україна, None (Київ)",Є тестове завдання,"28,березня",217,41
SpeedlineHub,Data Analyst,Product,"Data Analysis, data, Data Science",,Тільки віддалено,"Польща, Португалія None",,"28,березня",30,11
SKELAR,Lead Product Analyst,Product,"Product Analysis, Marketing Analytics, analytical skills, Analysis and research, Tableau, Pivot Tables",,Гібридна робота,"Релокейт, Україна (Київ)",,"29,березня",19,3
Synergy Recruiting Agency,Data Analyst,Product,Data Analyst,,Тільки віддалено,"Україна, None None",,"27,березня",112,14
Solidgate,Product Analyst,Product,"A/B testing, Tableau, Python, SQL",,Гібридна робота,"Україна, None (Київ)",Є тестове завдання,"27,березня",51,5
NuxGame,Data Analyst,Product,,,Тільки віддалено,"Україна, None None",,"27,березня",39,5
Codemotion,Senior Business Analyst,Агенція,,,Тільки віддалено,"Україна, None None",,"27,березня",37,7
Boosters (by Genesis),Head of BI (Promova),Product,,,Office або Remote,"Україна, None (Київ)",Є тестове завдання,"27,березня",111,13
SKELAR,Marketing Analyst,Product,,,Тільки офіс,"Релокейт, Україна (Київ)",,"27,березня",58,4
Gamzix,BI Analyst,Product,,,Office або Remote,"Україна, None (Київ)",,"26,березня",81,21
Netpeak Group,Junior Product Analyst,Product,,,Office або Remote,"Україна, None None",,"26,березня",819,137
dok.ua,Middle Data Analyst,Product,"SQL, Power BI, Tableau",,Гібридна робота,"Україна, None (Київ)",,"26,березня",29,3
UPSTARS,Product Analyst (Retention analyst),Product,,,Office або Remote,"Релокейт, Польща,
    Україна (Київ)",Є тестове завдання,"26,березня",137,23
ZONE3000 (Namecheap),Data Analyst (Finance),Product,"SQL, Tableau, Power BI, Python, R, Upper-intermediate level of English",,Office або Remote,"Україна, None None",,"26,березня",95,33
dentsu Ukraine,Junior Strong Web Analyst,Агенція,,,Office або Remote,"Україна, None (Київ)",,"26,березня",52,6
